d_int,d_est,lunghezza,peso_uni,ascissa,ordinata,composizione_fascio,num_pezzi_strato,forma_fascio,uuid,altezza_max,rotazione
51.0,58.0,500.0,0.5,1055,893,3-4-5-4-3,342,esagono,90071005f9ea497c87d8f3d39ff642cbo55WASikjd8StVeHBr6c7ZbyfytxKE81,258.96999999999997,0
51.0,58.0,500.0,0.5,600,893,3-4-5-4-3,342,esagono,90071005f9ea497c87d8f3d39ff642cbo55WASikjd8StVeHBr6c7ZbyfytxKE81,258.96999999999997,0
51.0,58.0,500.0,0.5,145,893,3-4-5-4-3,342,esagono,90071005f9ea497c87d8f3d39ff642cbo55WASikjd8StVeHBr6c7ZbyfytxKE81,258.96999999999997,0
51.0,58.0,500.0,0.5,828,762,3-4-5-4-3,342,esagono,90071005f9ea497c87d8f3d39ff642cbo55WASikjd8StVeHBr6c7ZbyfytxKE81,258.96999999999997,0
51.0,58.0,500.0,0.5,373,762,3-4-5-4-3,342,esagono,90071005f9ea497c87d8f3d39ff642cbo55WASikjd8StVeHBr6c7ZbyfytxKE81,258.96999999999997,0
51.0,58.0,500.0,0.5,1055,631,3-4-5-4-3,342,esagono,90071005f9ea497c87d8f3d39ff642cbo55WASikjd8StVeHBr6c7ZbyfytxKE81,258.96999999999997,0
51.0,58.0,500.0,0.5,600,631,3-4-5-4-3,342,esagono,90071005f9ea497c87d8f3d39ff642cbo55WASikjd8StVeHBr6c7ZbyfytxKE81,258.96999999999997,0
51.0,58.0,500.0,0.5,145,631,3-4-5-4-3,342,esagono,90071005f9ea497c87d8f3d39ff642cbo55WASikjd8StVeHBr6c7ZbyfytxKE81,258.96999999999997,0
51.0,58.0,500.0,0.5,828,500,3-4-5-4-3,342,esagono,90071005f9ea497c87d8f3d39ff642cbo55WASikjd8StVeHBr6c7ZbyfytxKE81,258.96999999999997,0
51.0,58.0,500.0,0.5,373,500,3-4-5-4-3,342,esagono,90071005f9ea497c87d8f3d39ff642cbo55WASikjd8StVeHBr6c7ZbyfytxKE81,258.96999999999997,0
51.0,58.0,500.0,0.5,1055,369,3-4-5-4-3,342,esagono,90071005f9ea497c87d8f3d39ff642cbo55WASikjd8StVeHBr6c7ZbyfytxKE81,258.96999999999997,0
51.0,58.0,500.0,0.5,600,369,3-4-5-4-3,342,esagono,90071005f9ea497c87d8f3d39ff642cbo55WASikjd8StVeHBr6c7ZbyfytxKE81,258.96999999999997,0
51.0,58.0,500.0,0.5,145,369,3-4-5-4-3,342,esagono,90071005f9ea497c87d8f3d39ff642cbo55WASikjd8StVeHBr6c7ZbyfytxKE81,258.96999999999997,0
51.0,58.0,500.0,0.5,828,238,3-4-5-4-3,342,esagono,90071005f9ea497c87d8f3d39ff642cbo55WASikjd8StVeHBr6c7ZbyfytxKE81,258.96999999999997,0
51.0,58.0,500.0,0.5,373,238,3-4-5-4-3,342,esagono,90071005f9ea497c87d8f3d39ff642cbo55WASikjd8StVeHBr6c7ZbyfytxKE81,258.96999999999997,0
51.0,58.0,500.0,0.5,1055,107,3-4-5-4-3,342,esagono,90071005f9ea497c87d8f3d39ff642cbo55WASikjd8StVeHBr6c7ZbyfytxKE81,258.96999999999997,0
51.0,58.0,500.0,0.5,600,107,3-4-5-4-3,342,esagono,90071005f9ea497c87d8f3d39ff642cbo55WASikjd8StVeHBr6c7ZbyfytxKE81,258.96999999999997,0
51.0,58.0,500.0,0.5,145,107,3-4-5-4-3,342,esagono,90071005f9ea497c87d8f3d39ff642cbo55WASikjd8StVeHBr6c7ZbyfytxKE81,258.96999999999997,0
