d_int,d_est,lunghezza,peso_uni,ascissa,ordinata,composizione_fascio,num_pezzi_strato,forma_fascio,uuid,altezza_max,rotazione
51.88,106.0,520.0,0.7,984,720,3-4-5-4,80,esagono_asimmetrico,0db4d7a8fea542548073819547782cbc6NEN5QzXMaBMiIfTBCF8s4CgUl5Teord,381.388,90
51.88,106.0,520.0,0.7,600,720,3-4-5-4,80,esagono_asimmetrico,0db4d7a8fea542548073819547782cbc6NEN5QzXMaBMiIfTBCF8s4CgUl5Teord,381.388,90
51.88,106.0,520.0,0.7,216,720,3-4-5-4,80,esagono_asimmetrico,0db4d7a8fea542548073819547782cbc6NEN5QzXMaBMiIfTBCF8s4CgUl5Teord,381.388,90
51.88,106.0,520.0,0.7,698,280,3-4-5-4,80,esagono_asimmetrico,0db4d7a8fea542548073819547782cbc6NEN5QzXMaBMiIfTBCF8s4CgUl5Teord,381.388,270
51.88,106.0,520.0,0.7,314,280,3-4-5-4,80,esagono_asimmetrico,0db4d7a8fea542548073819547782cbc6NEN5QzXMaBMiIfTBCF8s4CgUl5Teord,381.388,270
