d_int,d_est,lunghezza,peso_uni,ascissa,ordinata,composizione_fascio,num_pezzi_strato,forma_fascio,uuid,altezza_max,rotazione
51.0,58.0,500.0,0.5,886,1081,5-4-3,336,trapezio,df5ec921e7294fa5a2172f5b4ac470e9ALDtBVzpLd84TGoFgH44yG3ZWhvx70RU,158.48499999999999,90
51.0,58.0,500.0,0.5,886,914,5-4-3,336,trapezio,df5ec921e7294fa5a2172f5b4ac470e9ALDtBVzpLd84TGoFgH44yG3ZWhvx70RU,158.48499999999999,90
51.0,58.0,500.0,0.5,886,747,5-4-3,336,trapezio,df5ec921e7294fa5a2172f5b4ac470e9ALDtBVzpLd84TGoFgH44yG3ZWhvx70RU,158.48499999999999,90
51.0,58.0,500.0,0.5,886,580,5-4-3,336,trapezio,df5ec921e7294fa5a2172f5b4ac470e9ALDtBVzpLd84TGoFgH44yG3ZWhvx70RU,158.48499999999999,90
51.0,58.0,500.0,0.5,886,413,5-4-3,336,trapezio,df5ec921e7294fa5a2172f5b4ac470e9ALDtBVzpLd84TGoFgH44yG3ZWhvx70RU,158.48499999999999,90
51.0,58.0,500.0,0.5,886,246,5-4-3,336,trapezio,df5ec921e7294fa5a2172f5b4ac470e9ALDtBVzpLd84TGoFgH44yG3ZWhvx70RU,158.48499999999999,90
51.0,58.0,500.0,0.5,886,79,5-4-3,336,trapezio,df5ec921e7294fa5a2172f5b4ac470e9ALDtBVzpLd84TGoFgH44yG3ZWhvx70RU,158.48499999999999,90
51.0,58.0,500.0,0.5,642,1081,5-4-3,336,trapezio,df5ec921e7294fa5a2172f5b4ac470e9ALDtBVzpLd84TGoFgH44yG3ZWhvx70RU,158.48499999999999,270
51.0,58.0,500.0,0.5,642,914,5-4-3,336,trapezio,df5ec921e7294fa5a2172f5b4ac470e9ALDtBVzpLd84TGoFgH44yG3ZWhvx70RU,158.48499999999999,270
51.0,58.0,500.0,0.5,642,747,5-4-3,336,trapezio,df5ec921e7294fa5a2172f5b4ac470e9ALDtBVzpLd84TGoFgH44yG3ZWhvx70RU,158.48499999999999,270
51.0,58.0,500.0,0.5,642,580,5-4-3,336,trapezio,df5ec921e7294fa5a2172f5b4ac470e9ALDtBVzpLd84TGoFgH44yG3ZWhvx70RU,158.48499999999999,270
51.0,58.0,500.0,0.5,642,413,5-4-3,336,trapezio,df5ec921e7294fa5a2172f5b4ac470e9ALDtBVzpLd84TGoFgH44yG3ZWhvx70RU,158.48499999999999,270
51.0,58.0,500.0,0.5,642,246,5-4-3,336,trapezio,df5ec921e7294fa5a2172f5b4ac470e9ALDtBVzpLd84TGoFgH44yG3ZWhvx70RU,158.48499999999999,270
51.0,58.0,500.0,0.5,642,79,5-4-3,336,trapezio,df5ec921e7294fa5a2172f5b4ac470e9ALDtBVzpLd84TGoFgH44yG3ZWhvx70RU,158.48499999999999,270
51.0,58.0,500.0,0.5,398,1081,5-4-3,336,trapezio,df5ec921e7294fa5a2172f5b4ac470e9ALDtBVzpLd84TGoFgH44yG3ZWhvx70RU,158.48499999999999,90
51.0,58.0,500.0,0.5,398,914,5-4-3,336,trapezio,df5ec921e7294fa5a2172f5b4ac470e9ALDtBVzpLd84TGoFgH44yG3ZWhvx70RU,158.48499999999999,90
51.0,58.0,500.0,0.5,398,747,5-4-3,336,trapezio,df5ec921e7294fa5a2172f5b4ac470e9ALDtBVzpLd84TGoFgH44yG3ZWhvx70RU,158.48499999999999,90
51.0,58.0,500.0,0.5,398,580,5-4-3,336,trapezio,df5ec921e7294fa5a2172f5b4ac470e9ALDtBVzpLd84TGoFgH44yG3ZWhvx70RU,158.48499999999999,90
51.0,58.0,500.0,0.5,398,413,5-4-3,336,trapezio,df5ec921e7294fa5a2172f5b4ac470e9ALDtBVzpLd84TGoFgH44yG3ZWhvx70RU,158.48499999999999,90
51.0,58.0,500.0,0.5,398,246,5-4-3,336,trapezio,df5ec921e7294fa5a2172f5b4ac470e9ALDtBVzpLd84TGoFgH44yG3ZWhvx70RU,158.48499999999999,90
51.0,58.0,500.0,0.5,398,79,5-4-3,336,trapezio,df5ec921e7294fa5a2172f5b4ac470e9ALDtBVzpLd84TGoFgH44yG3ZWhvx70RU,158.48499999999999,90
51.0,58.0,500.0,0.5,154,1081,5-4-3,336,trapezio,df5ec921e7294fa5a2172f5b4ac470e9ALDtBVzpLd84TGoFgH44yG3ZWhvx70RU,158.48499999999999,270
51.0,58.0,500.0,0.5,154,914,5-4-3,336,trapezio,df5ec921e7294fa5a2172f5b4ac470e9ALDtBVzpLd84TGoFgH44yG3ZWhvx70RU,158.48499999999999,270
51.0,58.0,500.0,0.5,154,747,5-4-3,336,trapezio,df5ec921e7294fa5a2172f5b4ac470e9ALDtBVzpLd84TGoFgH44yG3ZWhvx70RU,158.48499999999999,270
51.0,58.0,500.0,0.5,154,580,5-4-3,336,trapezio,df5ec921e7294fa5a2172f5b4ac470e9ALDtBVzpLd84TGoFgH44yG3ZWhvx70RU,158.48499999999999,270
51.0,58.0,500.0,0.5,154,413,5-4-3,336,trapezio,df5ec921e7294fa5a2172f5b4ac470e9ALDtBVzpLd84TGoFgH44yG3ZWhvx70RU,158.48499999999999,270
51.0,58.0,500.0,0.5,154,246,5-4-3,336,trapezio,df5ec921e7294fa5a2172f5b4ac470e9ALDtBVzpLd84TGoFgH44yG3ZWhvx70RU,158.48499999999999,270
51.0,58.0,500.0,0.5,154,79,5-4-3,336,trapezio,df5ec921e7294fa5a2172f5b4ac470e9ALDtBVzpLd84TGoFgH44yG3ZWhvx70RU,158.48499999999999,270
